9463,0.3625860810,0.3625985980,0.3344227374,0.3727113903,
18672,0.3405104280,0.3625235856,0.3344477117,0.3727238774,
27874,0.3405854106,0.3626735806,0.3344727159,0.3725488782,
37069,0.3406104147,0.3626485765,0.3344852328,0.3726989031,
46271,0.3406603932,0.3625610769,0.3344727159,0.3727363944,
55472,0.3406603932,0.3626485765,0.3344727159,0.3727238774,
64672,0.3406603932,0.3626235723,0.3343977332,0.3727113903,
73874,0.3406603932,0.3626610637,0.3344352245,0.3726863861,
83075,0.3406479061,0.3626735806,0.3344977200,0.3727238774,
92276,0.3406729102,0.3626485765,0.3344477117,0.3727113903,
101477,0.3406479061,0.3626735806,0.3344727159,0.3727363944,
110680,0.3406354189,0.3626485765,0.3344352245,0.3727113903,
119879,0.3406479061,0.3626610637,0.3344601989,0.3726738989,
129081,0.3406603932,0.3626110852,0.3344852328,0.3727113903,
138282,0.3406603932,0.3626360595,0.3344601989,0.3727363944,
147483,0.3406854272,0.3626860976,0.3344977200,0.3727489114,
156684,0.3406603932,0.3626860976,0.3344852328,0.3727489114,
165883,0.3406854272,0.3626860976,0.3344727159,0.3727113903,
175086,0.3406729102,0.3626610637,0.3344977200,0.3727363944,
184287,0.3406729102,0.3625860810,0.3345227242,0.3727113903,
193489,0.3406979144,0.3626485765,0.3344852328,0.3727238774,
202690,0.3406354189,0.3626110852,0.3344102204,0.3727363944,
211891,0.3406854272,0.3626610637,0.3344477117,0.3727113903,
221092,0.3406854272,0.3626610637,0.3344977200,0.3727113903,
230294,0.3406479061,0.3626360595,0.3344227374,0.3727363944,
239494,0.3406729102,0.3626360595,0.3344852328,0.3726738989,
248693,0.3406603932,0.3626485765,0.3345102370,0.3727238774,
257896,0.3406603932,0.3626610637,0.3344727159,0.3727238774,
267098,0.3406729102,0.3626235723,0.3344977200,0.3727113903,
276299,0.3406479061,0.3625985980,0.3344852328,0.3727238774,
285501,0.3406979144,0.3626360595,0.3345227242,0.3726863861,
294702,0.3406729102,0.3626485765,0.3344477117,0.3727489114,
303902,0.3406729102,0.3626735806,0.3344852328,0.3727238774,
313104,0.3406979144,0.3626485765,0.3344977200,0.3727238774,
322305,0.3406603932,0.3626485765,0.3344601989,0.3727363944,
331508,0.3407104313,0.3626735806,0.3343602121,0.3725739121,
340707,0.3406729102,0.3626610637,0.3344852328,0.3727238774,
349908,0.3406854272,0.3626485765,0.3344477117,0.3727113903,
359110,0.3406854272,0.3626735806,0.3344852328,0.3727363944,
368307,0.3406479061,0.3626735806,0.3344977200,0.3727238774,
377521,0.3406603932,0.3626610637,0.3344977200,0.3726738989,
386713,0.3406729102,0.3626110852,0.3345102370,0.3727363944,
395914,0.3406854272,0.3625985980,0.3344852328,0.3727238774,
405115,0.3406729102,0.3626610637,0.3344977200,0.3727613986,
414317,0.3406354189,0.3626110852,0.3344727159,0.3727363944,
423517,0.3406979144,0.3626485765,0.3344477117,0.3727113903,
432719,0.3406979144,0.3622360826,0.3344727159,0.3722488582,
441917,0.3406603932,0.3626235723,0.3344852328,0.3727363944,
451122,0.3406854272,0.3626860976,0.3344852328,0.3727113903,
460322,0.3406354189,0.3626735806,0.3344852328,0.3727113903,
469523,0.3406979144,0.3626735806,0.3344727159,0.3726488948,
478724,0.3406603932,0.3626610637,0.3344977200,0.3727113903,
487924,0.3407104313,0.3625985980,0.3344977200,0.3727613986,
497126,0.3406979144,0.3626610637,0.3344977200,0.3727113903,
506328,0.3406854272,0.3626485765,0.3344977200,0.3727363944,
515529,0.3406729102,0.3626735806,0.3344601989,0.3727363944,
524730,0.3406729102,0.3626610637,0.3344727159,0.3727238774,
533932,0.3406479061,0.3626485765,0.3344727159,0.3727238774,
543132,0.3406729102,0.3626485765,0.3344852328,0.3726738989,
552330,0.3407104313,0.3626485765,0.3344977200,0.3727363944,
561536,0.3405979276,0.3626485765,0.3344727159,0.3727613986,
570736,0.3406854272,0.3626735806,0.3345102370,0.3726614118,
579937,0.3406729102,0.3626860976,0.3344977200,0.3727363944,
589139,0.3406729102,0.3626985848,0.3344477117,0.3726989031,
598340,0.3405979276,0.3626360595,0.3344852328,0.3727238774,
607541,0.3406979144,0.3626360595,0.3344977200,0.3727363944,
616742,0.3406979144,0.3626735806,0.3344727159,0.3727238774,
625942,0.3406354189,0.3626610637,0.3344977200,0.3727489114,
635144,0.3406854272,0.3626860976,0.3344352245,0.3727363944,
644343,0.3407104313,0.3626610637,0.3344852328,0.3726863861,
653547,0.3406104147,0.3626485765,0.3345102370,0.3727363944,
662752,0.3406854272,0.3626860976,0.3344977200,0.3726863861,
671950,0.3406603932,0.3626860976,0.3345102370,0.3725863993,
681147,0.3406979144,0.3626610637,0.3344852328,0.3727238774,
690352,0.3406854272,0.3626860976,0.3345102370,0.3727363944,
